text,label
"The moon landing in 1969 was real and televised live.",REAL
"Breaking: Aliens have landed in Paris and are dancing!",FAKE
"NASA confirms water found on Mars.",REAL
"The president of the world is a robot in disguise!",FAKE
"COVID-19 vaccines are effective and safe.",REAL
"Scientists claim the Earth is flat and spinning backward!",FAKE
"Stock markets see growth after economic recovery.",REAL
"Bill Gates admits to putting microchips in vaccines!",FAKE
"Local elections held peacefully in all districts.",REAL
"Government bans oxygen to control the population!",FAKE
